"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Jan., 1999"	"1999/01"	3511	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Feb., 1999"	"1999/02"	3321	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Mar., 1999"	"1999/03"	3302	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Apr., 1999"	"1999/04"	2827	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"May, 1999"	"1999/05"	2743	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Jun., 1999"	"1999/06"	2667	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Jul., 1999"	"1999/07"	2835	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Aug., 1999"	"1999/08"	2562	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Sep., 1999"	"1999/09"	2540	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Oct., 1999"	"1999/10"	3082	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Nov., 1999"	"1999/11"	2886	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Dec., 1999"	"1999/12"	3241	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"1999"	"1999"			35517	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Jan., 2000"	"2000/01"	3827	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Feb., 2000"	"2000/02"	3053	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Mar., 2000"	"2000/03"	2939	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Apr., 2000"	"2000/04"	2727	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"May, 2000"	"2000/05"	2942	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Jun., 2000"	"2000/06"	2571	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Jul., 2000"	"2000/07"	2677	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Aug., 2000"	"2000/08"	2600	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Sep., 2000"	"2000/09"	2622	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Oct., 2000"	"2000/10"	2939	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Nov., 2000"	"2000/11"	2873	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Dec., 2000"	"2000/12"	3301	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"2000"	"2000"			35071	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Jan., 2001"	"2001/01"	3319	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Feb., 2001"	"2001/02"	2916	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Mar., 2001"	"2001/03"	3235	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Apr., 2001"	"2001/04"	2919	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"May, 2001"	"2001/05"	2874	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Jun., 2001"	"2001/06"	2681	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Jul., 2001"	"2001/07"	2624	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Aug., 2001"	"2001/08"	2673	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Sep., 2001"	"2001/09"	2556	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Oct., 2001"	"2001/10"	2776	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Nov., 2001"	"2001/11"	2760	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Dec., 2001"	"2001/12"	3005	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"2001"	"2001"			34338	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Jan., 2002"	"2002/01"	3266	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Feb., 2002"	"2002/02"	3165	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Mar., 2002"	"2002/03"	3099	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Apr., 2002"	"2002/04"	2729	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"May, 2002"	"2002/05"	2735	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Jun., 2002"	"2002/06"	2527	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Jul., 2002"	"2002/07"	2683	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Aug., 2002"	"2002/08"	2542	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Sep., 2002"	"2002/09"	2484	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Oct., 2002"	"2002/10"	2767	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
